"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","19674594","false","0","false","21665661.296","0","21665661.296","0","false","true",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","13408956","false","0","false","16022427.54","0","16022427.54","0","false","true",
"C","M","20141001","2014","10","201410","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","20228513","false","0","false","18353099.021","0","18353099.021","0","false","true",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","55070744","false","0","false","0","40213209.994","40213209.994","0","false","true",
"C","M","20141101","2014","11","201411","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","23409080","false","0","false","17617864.344","0","17617864.344","0","false","true",
"C","M","20140401","2014","4","201404","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","17708770","false","0","false","19440268.361","0","19440268.361","0","false","true",
"C","M","20140401","2014","4","201404","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","54808145","false","0","false","0","42295262.068","42295262.068","0","false","true",
"C","M","20141001","2014","10","201410","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","48462818","false","0","false","0","26615556.793","26615556.793","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","X","Export","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","57707906","false","0","false","0","39508126.539","39508126.539","0","false","true",
"C","M","20140901","2014","9","201409","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","18696008","false","0","false","19284384.679","0","19284384.679","0","false","true",
